,TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions
61,Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"1 cup Whole Wheat Flour,1 cup Spinach - chopped,1 cup Kaddu (Parangikai/ Pumpkin) - grated (red one preferably),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Coriander Powder (Dhania),1/2 teaspoon Cumin seeds (Jeera),1/4 teaspoon Salt,Water - as required for dough,Sunflower Oil - as required for rotis",10,25,35,3,North Indian,Indian Breakfast,High Protein Vegetarian,"To begin making the Kaddu Palak Roti recipe, wash the spinach leaves in cold water and chop them finely.Remove the skin from pumpkin and grate them. In a large bowl, add flour, pumpkin, spinach, spice powders, and salt. Combine them well.Add water little by little and mix them well to form a tight dough. Add water cautiously and in small amount since you would not want the dough too be any runny or not pliable.Dust the working surface with flour and roll the dough into small lemon-sized balls. Dust the discs with flour while rolling them, and roll using rolling pin into thin circular discs.Heat the Tawa over medium flame. Season the tawa with oil and cook the roti on both sides until they are golden on both sides.Repeat the same for the remaining dough. Serve it warmly with raita or curry or simple with a bowl of curd.Prepare this Kaddu Palak Roti and serve it for your dinner/breakfast along with Corn And Onion Raita and Dhaniya Pudina Chutney."
63,Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),"1 cup Gram flour (besan),1/2 cup Coconut milk,3/4 cup Water,1 inch Ginger - grated,2 cloves Garlic - grated,1/2 teaspoon Ajwain (Carom seeds),1/4 teaspoon Asafoetida (hing),1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Baking soda,2-3 Green Chillies - finely chopped,1 Onion - finely chopped,1 Tomato - finely chopped,Coriander (Dhania) Leaves - A handful finely chopped,Salt - to taste,Sunflower Oil - for cooking",20,30,50,4,North Indian,North Indian Breakfast,High Protein Vegetarian,"To begin making the Vegan Chickpea Omelette Recipe, first place a non-stick griddle/tava on the heat. Turn the heat to low so it can slowly pre-heat while you prepare the batter.To make the batter, sieve the chickpea flour/besan into a mixing bowl to remove all lumps.To it, add the ginger-garlic paste, ajwain, asafoetida, turmeric powder, baking soda, onion, tomato, green chillies, Coriander leaves and salt. Mix well to combine.Next, stir in the coconut milk (or Soy or Almond milk), if using, and mix to make a smooth batter.Alternatively, add enough water to make a batter which is smooth and spreadable, but not too watery/runny.When the griddle is hot enough, pour a ladle full of the batter on it and spread evenly into a round pancake.Drizzle oil along the edges of the omelette and cook for 2-3 minutes, on medium heat till the bottom is golden brown. Lift it gently with a spatula to check if it releases and if that bottom has cooked.When it looks golden, flip the omelette over and cook on the other side for 1-2 minutes.Serve hot along with Peanut Carrot Chutney."
66,Tofu Pulao Recipe,"1 cup rice, 2 tablespoons ghee, 1 teaspoon cumin seeds, 1 bay leaf, 1 lentil sugar, 3 long, 2 green chillies - chopped, 1 tablespoon ginger garlic paste, 2 onions - chopped, 2 tomatoes - chopped Take, 1/2 capsicum (green) - red or yellow, 1/2 teaspoon red chilli powder, 1/2 teaspoon turmeric powder, 1 teaspoon coriander powder, 1/2 teaspoon garam masala powder, 1 cup tofu - cut, salt - according to taste, coriander - to garnish",20,45,65,4,Indian,Dinner,Vegetarian,"To make Tofu Casserole, first wash and soak the rice for 1/2 hour. Drain and keep aside. Heat the ghee in a saucepan. After it gets hot, add cumin seeds and let it splutter. Add onion, green chilli, ginger garlic paste and let it cook till the onion turns brown. After that add tomatoes and capsicum to it and mix. Add red chili powder, turmeric powder, coriander powder, garam masala powder and let it cook for 5 to 7 minutes. After 7 minutes add salt to it with tofu and let it cook until the tofu turns light brown. Add rice and 2 cups of water and mix. Cover the pan and cook until the rice is cooked. Turn off the gas after cooking. Open after 5 minutes and garnish with green coriander. Serve Tofu Casserole with Spinach Raita, Kachumbar Salad and Papad for day or dinner."
70,Radish Soup Recipe,"8 Mooli/ Mullangi (Radish) - purple one,2 cups Water,1/4 teaspoon Garam masala powder,1/2 teaspoon Salt,1/2 teaspoon Black pepper powder,Mooli/ Mullangi (Radish) - slices,Coriander (Dhania) Leaves - as required for garnish (chopped)",10,30,40,4,Indian,Side Dish,Vegetarian,"To begin making the Radish Soup recipe, wash, peel and slice the radish.In a saucepan, add radish slices, garam masala powder, and water.Cook the radish until tender. Remove from the stove and allow it to cool.Once cooled down, blend and pass it through the strainer.Mix the strained liquid with the required amount of water and pepper.Boil the soup for few minutes, about 5 minutes.Serve the soup hot, garnished with radish slices and coriander leaves.Prepare Radish soup effortlessly and enjoy as a mid snack or just sip it before your lunch or dinner during winters."
72,Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,"1 cup All Purpose Flour (Maida),2 tablespoons Sunflower Oil,1/2 teaspoons Ajwain (Carom seeds),Salt - to taste,Sunflower Oil - as required for frying,1 cup Green peas (Matar),1 cup Paneer (Homemade Cottage Cheese) - crumbled,1 teaspoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Sunflower Oil,Salt and Pepper - to taste,1 cup Onion - chopped,1 cup Homemade tomato puree,1 teaspoon Ginger Garlic Paste,12 Whole cashews,1/2 cup Curd (Dahi / Yogurt),2 Cloves (Laung),1 Mace (Javitri),2 Cardamom (Elaichi) Pods/Seeds,1 inch Cinnamon Stick (Dalchini),1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Garam masala powder,1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),1/2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),1/2 teaspoon Sugar,Salt - to taste,Coriander (Dhania) Leaves - as required,Fresh cream - as required for garnishing,2 tablespoons Sunflower Oil",50,30,80,4,North Indian,Lunch,Vegetarian,"To begin making the Matar Paneer Kachori Korma Recipe, we will firstly make the dough for kachori.Dough for the KachoriMix maida, salt, carom seeds, oil in a bowl and mix till you get crumbly texture. Then add cold water to this slowly. The dough has to be stiff and shouldn't be kneaded for long.Once the dough is done, let this rest for 15 to 20 minutes. The next step is to make the filling for Kachori. Heat oil in a heavy bottomed pan, add green peas, salt and all dry spices including turmeric powder, red chilli powder, coriander powder, amchur powder, salt and pepper. Let it cook for about 4 to 5 minutes while slightly mashing the peas in between. After 4 minutes, add the crumbled paneer to this and mix well. Let it simmer for 2 minutes and take it out in a bowl. Keep it aside to cool down.Take a ball size dough and roll it like a roti but slightly thicker. Take a 2.5"" diameter lid or cookie cutter and cut the circles. Now add a small teaspoon of the paneer and matar mixture in the middle and seal them using water on the edges. Pat them a little to make it flat and keep them aside.To make the Kachoris, heat the required oil in a frying pan. When the oil is hot, add the kachoris and fry them for 5 to 6 minutes until they turn golden brown and crispy on both the sides.Once done, take them out on a paper towel to absorb the excess oil and place aside.*Gravy / Korma for the dishWe will first make the onion paste, tomato paste and cashew paste separately in a mixer. Keep aside. In a wide bottomed pan, add oil, let it heat, then add the whole spices including cloves, mace, cumin seeds, cardamom, cinnamon stick and let it crackle. This will take about a minute.To the pan, add turmeric powder, red chilli powder, ginger garlic paste, the freshly ground onion paste and let it cook for about 4 to 5 minutes until the raw smell of onions go away. Add in the tomato puree and let it cook until the tomatoes are well combined into the gravy. Next, add the cashew paste to tomato onion mixture and stir well to get a uniform mixture. Switch the heat to low, add the beaten curd and let it cook for 2 minutes. Next add 1/2 cup of water or more according to the gravy consistency. Finally add garam masala powder, sugar, salt to taste and let it cook for 5 minutes on low heat. Once done, add the mini kachoris to the gravy and garnish it with chopped coriander leaves.Serve Matar Paneer Kachori Korma with Boondi Raita and Phulka for a weekday meal.Serve Matar Paneer Kachori Korma along with Dal Makhani, Palak Raita, Phulka, Jeera Rice and Kachumber Salad for a meal, when you have guests coming home for dinner or you are organizing a house party."
78,Crunchy Ginger Capsicum Rice Recipe,"2 cups Basmati rice - cooked,1 Yellow Bell Pepper (Capsicum),1 Red Bell pepper (Capsicum),1 Green Bell Pepper (Capsicum),2 Green Chillies - finely chopped,2 inch Ginger - grated,2 teaspoon Butter,2 teaspoon Sesame seeds (Til seeds) - mixed black and white,Salt - to taste",20,20,40,9,Indian,Lunch,Vegetarian,"To begin making Crunchy Ginger Capsicum Rice Recipe, let's get the basmati rice ready. Wash the basmati rice in running tap water until clear and soak for 30 minutes.Now, take a big pan, fill it with 3.5 cups of water and bring it to a rolling boil. Add the soaked and drained rice, salt to taste, close it with a lid and cook for 20 minutes on a low flame. The rice should be cooked to al dente (firm to bite). Switch off the flame, let it rest for 10 minutes.Fluff up the rice with a fork such it does not become lumpy after cooling and keep aside.Now heat a kadai with some butter and a teaspoon of oil. Oil will avoid the butter getting burnt or turning brown.Add the finely chopped bell peppers and green chillies. Sauté for 2 minutes.Add the grated ginger and give it a good stir.Now add 2 cups of cooked basmati rice, season with salt and gently toss it to bring everything together.Garnish with toasted black and white sesame seeds and switch off the flame.Serve the Crunchy Ginger Capsicum Rice for kids lunch box or with chicken/vegetable Manchurian to make an interesting weeknight dinner."
80,Makhan Recipe (Homemade Butter),"2 cups Fresh cream,1 cup Water",10,0,10,10,North Indian,Side Dish,Vegetarian,"To begin making the Makhan recipe, take out thick milk cream from milk.Take a mixing jar and put cream in it. Now add water. Close the lid and turn on the mixer.Initially the cream will begun to smoothen and we will get smooth whipped cream. Continue mixing it in mixer till we see buttermilk and butter getting separated.Now will see lumps of butter floating in the buttermilk. With a spoon or spatula collect the white butter in an air-tight container or can also store in refrigerator.Homemade white butter is now ready. Serve Makhan on Aloo Paratha, Mooli Paratha or any other Paratha of your choice."
83,Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,"1/2 cup green peas - make paste, 1 cup cheese - crumble, cut 1 inch ginger - 1 green chili - chopped, 1 tsp turmeric powder, 2 tsp red chili powder, 1 tsp mango powder Powder, 1 tsp coriander powder, salt - according to taste, 1 cup wheat flour, salt - according to taste, oil - according to use, water - lukewarm",20,45,65,4,North Indian,North Indian Breakfast,High Protein Vegetarian,"To make paneer and green pea paratha recipe, prepare all the ingredients first. To make paratha flour: Now add wheat flour, salt, oil and mix in a bowl. Add a little water and knead the dough. Cover and keep aside. To make the masala: Heat the oil in a pan. Add cumin seeds and cook for a few seconds. Now add ginger, green peas and cook half. Now add cottage cheese, red chilli powder, coriander powder, mango powder, salt. Mix well and keep aside. Let it cool down. Now take a little piece of flour and roll it out. Place the mixture of paneer peas in the middle and close it from all sides. Now coat it with dry flour. Take the vine again. Only fat, or else spices can come out. Make all such parathas. Heat a griddle. Put paratha on it and apply ghee on top. Cook till it turns golden brown from both sides and turn off the gas. Serve Paneer and Hare Matar Paratha Recipe with Coriander Mint Chutney and Tadka Raita for an evening snack."
84,Elephant Yam Raita (Recipe In Hindi),"250 grams Elephant yam, 1/2 green chilli, 1 inch ginger, 3 tablespoons coriander - chopped, salt - as per taste, 1 cup curd, 1 teaspoon oil, asafetida - a pinch, 1-1 / 2 teaspoon Rye, 1-1 / 2 teaspoon Kali Urad Dal (Split)",15,25,40,4,Indian,Side Dish,Vegetarian,"To make Senai Pachadi, first peel and cut the yam into small pieces. Now in a pressure cooker add water, yam as per use and cook till 3 cities come. With the pressure coming out automatically, take out the yam separately. Also keep the remaining water separately. Now add green coriander, green chillies, ginger and yam in a mixer grinder. Grind. Now heat oil in a tempering pan. Add the ingredients given for tempering and cook it for 30 seconds. In a bowl, add yam mixture, curd and remaining water and mix. Add tempering to it and mix once more. Serve. Serve senai pachdi with mixed vegetable sambar, beetroot thoran and rice for dinner."
88,Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,"500 gram Chicken - cut into pieces,2 teaspoon Ginger - paste,1 teaspoon Garlic - paste,2 tablespoon Fresh cream,1 tablespoon Badam (Almond) - paste,1/2 teaspoon Lemon juice,1/4 teaspoon Black pepper powder,Salt - to taste,1 Onion - sliced,1/2 cup Fresh cream,1 cup Milk,2 Cardamom Powder (Elaichi),1 inch Cinnamon Stick (Dalchini),2 Bay leaf (tej patta),2 teaspoon Kasuri Methi (Dried Fenugreek Leaves),4 teaspoon Ghee",150,30,180,4,North Indian,Lunch,Non Vegeterian,"To begin making the Murgh Malaiwala recipe, firstly clean and wash the chicken pieces and dry it. Soak kasuri methi leaves in 1/4th cup of water in a small bowl.Take a big bowl and add chicken, salt, pepper and mix it well. Refrigerate it for about 2 hours or more.After 2 hours, add garlic, ginger, lemon juice, almond paste and 2 tablespoons cream into the chicken and keep it aside for 20 minutes.Heat a heavy bottomed pan with ghee. Add cardamom powder and onions in the pan and let it cook till the onions become soft and translucent.Next, add the marinated chicken pieces and let it cook for 10 minutes. After 10 minutes, add in the cream, milk with cinnamon stick and bay leaf.Boil stirring occasionally till the chicken pieces are fully cooked and semi thick gravy consistency is formed. Strain the methi leaves and sprinkle on the gravy and stir it well. Let it cook for about a minute or two.Switch off the gas, cover the pan and let it sit for 10 minutes before serving. Serve Murgh Malaiwala along with Burani Raita, Garlic Naan and Jeera Rice for a weekend meal with your family."
90,Spicy Lemon Chicken Kebab Recipe,"1 Chicken breasts - cut into cubes,1 Red Bell pepper (Capsicum) - cut into squares,1 Onion - cut into chunks,1 Lemon juice,1 teaspoon Dried Thyme Leaves,1 teaspoon Red Chilli flakes,1 teaspoon Black pepper powder,2 tablespoon Extra Virgin Olive Oil,Salt - to taste",60,30,90,4,Indian,Appetizer,Non Vegeterian,"To begin making the Spicy Lemon Chicken Kebab Recipe, thoroughly wash and clean the chicken, and cut them into cubes.To marinate the chicken, in a mixing bowl, combine the chicken pieces along with the bell peppers and onions and lemon juice, dried thyme, red chilli flakes, pepper powder, olive oil, salt and mix well.   Rest it for at least for about 1 hour.  Once it is well coated and marinated, start skewering by first placing the red bell pepper, a chicken cube followed by a onion chunk, repeating the sequence one more time. Ensure the skewer is not over crowded and packed. Heat a grill pan, drizzle some oil and place the skewers and cook for at least 25 minutes. Keep brushing the extra marinade over the chicken and keep turning the skewers so that it is evenly cooked.Serve the Spicy Lemon Chicken Kebab Recipe, along with tzatziki dip, sliced onions and green chutney to make it more interesting."
